t_s,x,y,heading,bump,bump_strength,energy,hunger,arousal,spikes,active,drive_l,drive_r,kc,kc_active,mbon,cx,modulation,dn_left,dn_right,dn_stop,dn_back,mn9,turn,gate,da_max,elig_mean,depressed,in_odor_good_l,in_odor_good_r,in_odor_bad_l,in_odor_bad_r,in_sugar,in_bitter,in_touch,on_food,on_hazard
5.135,2.3917582035064697,18.87958526611328,2.903747081756592,2.8221222409306854,0.8632018902003546,0.9148000000000116,0.0851999999999884,0.0,543,520,1.0440544503049742,0.9559455496950258,17.0,17,1.0,28.0,0.038599126040935516,20.575062591303265,21.67642384892762,0.0,0.0,0.0,0.055068062881217725,1.0,0.33738866448402405,0.052872683852910995,0.04559040069580078,0.03648402792261875,0.035547984986565626,0.02475009299814701,0.024085344436268013,0.0,0.0,0.02246675729751587,False,False
5.14,2.299818515777588,18.87403678894043,2.9326977729797363,2.9086203577833487,0.37962607941751875,0.9147000000000116,0.08529999999998839,0.0,619,576,1.040383246112893,0.959616753887107,29.0,29,2.0,22.0,0.03851152956485748,18.86047404202799,19.870055194850316,0.0,0.0,0.0,0.05047905764111622,1.0,0.3382751941680908,0.052827607840299606,0.04559534788131714,0.03639786662037135,0.03544449031601312,0.024959237780421972,0.024302431847900152,0.0,0.0,0.031129162311553958,False,False
5.1450000000000005,2.254312753677368,18.863704681396484,2.966702938079834,-2.7425535279802977,0.5751608652985846,0.9146000000000116,0.08539999999998837,0.0,645,616,1.0370179756034852,0.9629820243965148,51.0,51,2.0,20.0,0.038421645760536194,17.28876787185899,18.21421726194612,0.0,0.0,0.0,0.04627246950435655,1.0,0.33888205885887146,0.052915412932634354,0.045600295066833496,0.036448179073165714,0.03546432965404006,0.025097349037726722,0.02445713927348455,0.0,0.0,0.030234756469726565,False,False
5.15,2.1509575843811035,18.882911682128906,2.943976402282715,2.6799202386592853,0.5947459159888794,0.9145000000000116,0.08549999999998836,0.0,516,479,1.0339331443031947,0.9660668556968052,30.0,30,2.0,35.0,0.03836672753095627,15.84803721587074,16.69636582345061,0.0,0.0,0.0,0.042416430378993474,1.0,0.33927109837532043,0.052844878286123276,0.04560530185699463,0.036153593908063685,0.03520401962287687,0.025266194716095924,0.024602205958217382,0.0,0.0,0.020705511569976808,False,False
5.155,1.991366982460022,18.809112548828125,2.9223618507385254,2.9116778955438103,0.8490690600332803,0.9144000000000116,0.08559999999998835,0.0,598,560,1.0311053822779286,0.9688946177220715,14.0,14,2.0,25.0,0.03829493373632431,14.527367447881511,15.305002004829724,0.0,0.0,0.0,0.03888172784741064,1.0,0.33944934606552124,0.052692558616399765,0.04561007022857666,0.035942000069189434,0.035038361826445534,0.025613528365890186,0.024919845939924322,0.0,0.0,0.01586174845695496,False,False
5.16,1.8720086812973022,18.733352661132812,2.932584285736084,2.821644292690792,0.5414436786805447,0.9143000000000117,0.08569999999998834,0.0,607,579,1.0285132670881012,0.9714867329118989,31.0,31,6.0,18.0,0.03835262358188629,13.316753493891385,14.029585171093913,0.0,0.0,0.0,0.03564158386012641,1.0,0.33942368626594543,0.052620526403188705,0.04561483860015869,0.03596271460379125,0.03505596335356397,0.025897067971527576,0.025208742202570043,0.0,0.0,0.01678792953491211,False,False
5.165,1.7781445980072021,18.82217788696289,2.8974475860595703,-2.386055964121139,0.589813155229418,0.9142000000000117,0.08579999999998833,0.0,610,569,1.0261371614974262,0.9738628385025739,29.0,29,3.0,19.0,0.03843278810381889,12.207024036067102,12.860453073502754,0.0,0.0,0.0,0.032671451871782595,1.0,0.33920079469680786,0.052543748170137405,0.04561960697174072,0.035447991529944906,0.0345934392740015,0.025919067362944286,0.025203243518869083,0.0,0.0,0.01785636901855469,False,False
5.17,1.7461172342300415,18.92784881591797,2.854482412338257,2.574131764159303,0.6265567055100887,0.9141000000000117,0.08589999999998832,0.0,677,641,0.6906257313726407,1.3093742686273593,82.0,82,2.0,23.0,0.03853657469153404,19.52310536639484,11.788748650710858,0.0,0.0,0.0,-0.38671783578419916,1.0,0.3387872278690338,0.05289069563150406,0.045624375343322754,0.03496833181070748,0.034173213418883214,0.025829759736855827,0.02507954447840651,0.0,0.0,0.01960184931755066,False,False
5.175,1.769963264465332,18.940750122070312,2.8234059810638428,3.0032172179105423,0.6715796029222628,0.9140000000000117,0.08599999999998831,0.0,632,595,0.7164069204249206,1.2835930795750794,47.0,47,6.0,33.0,0.03847285360097885,26.2295132525286,19.139686263151617,0.0,0.0,0.0,-0.3544913494688492,1.0,0.3392665982246399,0.052955035120248795,0.04562920331954956,0.03490970822563357,0.03414287242153623,0.02577062152946989,0.024999214025835197,0.0,0.0,0.013199005126953125,False,False
5.18,1.716214656829834,18.986398696899414,2.791738986968994,-2.907683291825058,0.8184259093203371,0.9139000000000117,0.0860999999999883,0.0,588,553,1.0733730103895105,0.9266269896104895,21.0,21,3.0,21.0,0.03840291500091553,24.04372048148455,25.878045741222312,0.0,0.0,0.0,0.09171626298688818,1.0,0.3394789695739746,0.052836548537015915,0.04563385248184204,0.034651638809591156,0.03391943239606881,0.025777875756224,0.024985817726701498,0.0,0.0,0.023746056556701662,False,False
