t_s,x,y,heading,energy,spikes,active,drive_l,drive_r,kc,mbon,cx,dn_left,dn_right,dn_stop,dn_back,mn9,turn,gate,in_odor_good_l,in_odor_good_r,in_odor_bad_l,in_odor_bad_r,in_sugar,in_bitter,in_touch,in_vision_l,in_vision_r,on_food,on_hazard
3.665,11.63855266571045,41.208499908447266,2.3341643810272217,0.9722000000000073,1255,1204,0.77657574676992,1.22342425323008,9.0,1.0,0.0,14.669705115034537,9.084098784282537,0.0,0.0,0.0,-0.2792803165376,1.0,0.008948008374621471,0.008842886503164967,0.005723351302246253,0.005633695012268921,0.0,0.0,0.019445402622222902,0.15,0.15,False,False
3.67,11.515337944030762,41.263641357421875,2.297267198562622,0.9721000000000073,1270,1198,0.7951944345390933,1.2048055654609067,3.0,1.0,1.0,13.447229688781658,8.327090552258992,0.0,0.0,0.0,-0.2560069568261333,1.0,0.008940862414116662,0.008830711788808307,0.0057365531877925004,0.005645436467602849,0.0,0.0,0.013266582489013672,0.15,0.15,False,False
3.675,11.402384757995605,41.39189147949219,2.2404913902282715,0.9720000000000073,1276,1205,0.47892823166083553,1.5,4.0,2.0,0.0,20.659960548049852,7.633166339570742,0.0,0.0,0.0,-0.6513397104239556,1.0,0.008877440510938566,0.008772874328618249,0.005713365001914402,0.0056239824819689,0.0,0.0,0.014148579835891725,0.15,0.15,False,False
3.68,11.37123966217041,41.48931884765625,2.22231388092041,0.9719000000000073,1298,1250,0.5223508790224327,1.4776491209775673,9.0,1.0,0.0,18.938297169045697,6.997069144606513,0.0,0.0,0.0,-0.5970614012219592,1.0,0.0088156348404785,0.0087196317811807,0.005680630759646496,0.005594260874204338,0.0,0.0,0.021401891708374025,0.15,0.15,False,False
3.685,11.431093215942383,41.46472930908203,2.2029051780700684,0.9718000000000073,1293,1231,0.5621549724372299,1.43784502756277,10.0,0.0,2.0,17.36010573829189,6.413980049222637,0.0,0.0,0.0,-0.5473062844534626,1.0,0.008819669795533022,0.008725427323952317,0.005677363757664959,0.005591234269862374,0.0,0.0,0.013650220632553101,0.15,0.15,False,False
3.69,11.474717140197754,41.54185485839844,2.1911818981170654,0.9717000000000073,1367,1309,0.5986420580674607,1.4013579419325393,24.0,1.0,0.0,24.24676359343423,14.212815045120749,0.0,0.0,0.0,-0.5016974274156741,1.0,0.00879028191169103,0.008697750745341182,0.005657777073793113,0.005572245572693646,0.0,0.0,0.022467465400695802,0.15,0.15,False,False
3.695,11.412373542785645,41.63460922241211,2.18192458152771,0.9716000000000073,1355,1293,0.6320885532285057,1.3679114467714943,8.0,6.0,0.0,22.226199960648046,13.028413791360686,0.0,0.0,0.0,-0.459889308464368,1.0,0.00875176745466888,0.008661527729903659,0.005643989037101468,0.005559261577824752,0.0,0.0,0.029014580249786377,0.15,0.15,False,False
3.7,11.366975784301758,41.64226150512695,2.2350237369537354,0.9715000000000074,1288,1235,0.6627478404594634,1.3372521595405367,4.0,2.0,2.0,20.374016630594042,11.942712642080629,0.0,0.0,0.0,-0.42156519942567067,1.0,0.008741177540893357,0.00865298400943478,0.005641575747479996,0.005557619733735919,0.0,0.0,0.01882200241088867,0.15,0.15,False,False
3.705,11.370841979980469,41.79444122314453,2.2274892330169678,0.9714000000000074,1236,1188,0.6908521870878415,1.3091478129121585,4.0,1.0,0.0,18.67618191137787,10.94748658857391,0.0,0.0,0.0,-0.38643476614019806,1.0,0.008699826430529356,0.008605128386989236,0.00562606321182102,0.00554023562775304,0.0,0.0,0.024485394954681397,0.15,0.15,False,False
3.71,11.410478591918945,41.977142333984375,2.2456231117248535,0.9713000000000074,1245,1177,0.7166145048305215,1.2833854951694785,18.0,0.0,0.0,17.119833418763047,10.035196039526083,0.0,0.0,0.0,-0.3542318689618482,1.0,0.008637440235664448,0.008544644806534052,0.005588820980240902,0.005504241562448442,0.0,0.0,0.02132443904876709,0.15,0.15,False,False
3.715,11.350004196166992,42.024688720703125,2.315769672393799,0.9712000000000074,1236,1189,0.7402299627613114,1.2597700372386886,23.0,0.0,0.0,15.693180633866126,9.198929702898909,0.0,0.0,0.0,-0.32471254654836085,1.0,0.00863060277576248,0.008536757668480277,0.0055920390877872705,0.005507048723908762,0.0,0.0,0.019689534902572633,0.15,0.15,False,False
3.72,11.22861099243164,41.993221282958984,2.360962152481079,0.9711000000000074,1215,1156,0.7618774658645354,1.2381225341354645,5.0,2.0,0.0,14.385415581043947,8.432352227657333,0.0,0.0,0.0,-0.2976531676693307,1.0,0.00865305308252573,0.008550831892838081,0.005624705421117445,0.005536779838924607,0.0,0.0,0.018800206184387207,0.15,0.15,False,False
3.725,11.190829277038574,41.95805740356445,2.357999563217163,0.9710000000000074,1299,1238,0.7817210103758241,1.218278989624176,8.0,2.0,1.0,13.186630949290285,7.729656208685888,0.0,0.0,0.0,-0.27284873703021983,1.0,0.008672431576997042,0.008564857222760718,0.005643386199759941,0.005553826728525261,0.0,0.0,0.01912070155143738,0.15,0.15,False,False
3.73,11.153090476989746,42.0465202331543,2.377063751220703,0.9709000000000074,1305,1251,1.133244259511172,0.8667557404888279,3.0,3.0,0.0,12.087745036849427,15.41885152462873,0.0,0.0,0.0,0.16655532438896517,1.0,0.008631931462635597,0.00852575331615905,0.0056259460203970475,0.00553691682095329,0.0,0.0,0.016304116249084476,0.15,0.15,False,False
3.735,11.072636604309082,42.18617248535156,2.4365856647491455,0.9708000000000074,1238,1175,1.1221405712185746,0.8778594287814254,5.0,1.0,1.0,11.080432950445307,14.13394723090967,0.0,0.0,0.0,0.15267571402321814,1.0,0.008587859726200502,0.008480744048332175,0.005612887519722184,0.005523786724855503,0.0,0.0,0.01840579390525818,0.15,0.15,False,False
3.74,10.971596717834473,42.22804641723633,2.4205803871154785,0.9707000000000074,1350,1287,1.1119621902836934,0.8880378097163067,21.0,2.0,0.0,10.157063537908197,12.956118295000529,0.0,0.0,0.0,0.1399527378546166,1.0,0.00859660329297185,0.008483993588015437,0.005632557828600208,0.005542041423420112,0.0,0.0,0.020554745197296144,0.15,0.15,False,False
3.745,10.86134147644043,42.2351188659668,2.4268407821655273,0.9706000000000075,1298,1233,1.1026320077600522,0.8973679922399479,11.0,1.0,0.0,9.310641576415847,11.87644177041715,0.0,0.0,0.0,0.12829000970006516,1.0,0.008583907037973404,0.008473337317506473,0.005636343072789411,0.005545901949517429,0.0,0.0,0.021514801979064944,0.15,0.15,False,False
3.75,10.713433265686035,42.24702453613281,2.4295713901519775,0.9705000000000075,1285,1228,1.0940793404467146,0.9059206595532855,8.0,0.0,0.0,8.534754778381192,10.886738289549054,0.0,0.0,0.0,0.11759917555839312,1.0,0.008573461091145873,0.008463264675810933,0.005645946754763524,0.005555532212990026,0.0,0.0,0.013677843809127807,0.15,0.15,False,False
3.755,10.596480369567871,42.30508804321289,2.388606071472168,0.9704000000000075,1213,1162,0.4195727287428218,1.5,6.0,0.0,0.0,24.490191880182756,9.9795100987533,0.0,0.0,0.0,-0.7255340890714728,1.0,0.00855359947308898,0.008443496966113647,0.005646818123447399,0.005556503698850672,0.0,0.0,0.010778212547302246,0.15,0.15,False,False
3.76,10.533687591552734,42.41585922241211,2.366978645324707,0.9703000000000075,1264,1203,0.4679416680142532,1.5,10.0,1.0,1.0,22.449342556834193,9.147884257190524,0.0,0.0,0.0,-0.6650729149821835,1.0,0.008496175675342481,0.008391481436168155,0.005619063158519566,0.005530658721302947,0.0,0.0,0.017057886123657228,0.15,0.15,False,False
3.765,10.527904510498047,42.4718132019043,2.346405029296875,0.9702000000000075,1261,1204,0.8456131956797321,1.1543868043202679,24.0,2.0,0.0,20.578564010431343,16.718893902424647,0.0,0.0,0.0,-0.19298350540033482,1.0,0.008464188625415167,0.008362972099954884,0.005604105729920169,0.0055164711860318984,0.0,0.0,0.014516763687133791,0.15,0.15,False,False
3.77,10.560412406921387,42.476898193359375,2.326671838760376,0.9701000000000075,1195,1127,0.8584787627064211,1.1415212372935788,17.0,2.0,0.0,18.86368367622873,15.32565274388926,0.0,0.0,0.0,-0.1769015466169736,1.0,0.008458426455035806,0.008358982546875875,0.005598432617262006,0.005510965129360557,0.0,0.0,0.012886825799942016,0.15,0.15,False,False
3.775,10.547769546508789,42.558170318603516,2.3130269050598145,0.9700000000000075,1170,1106,0.8702721991475528,1.1297278008524472,2.0,1.0,0.0,17.291710036543,14.048515015231821,0.0,0.0,0.0,-0.16215975106555902,1.0,0.008426669519394636,0.008329356399675211,0.005582427644791703,0.005495531368069351,0.0,0.0,0.02201772212982178,0.15,0.15,False,False
3.78,10.516345977783203,42.6074104309082,2.3323185443878174,0.9699000000000075,1327,1271,0.88108284921859,1.11891715078141,4.0,2.0,2.0,15.850734200164418,12.877805430629168,0.0,0.0,0.0,-0.14864643847676245,1.0,0.008405278204008937,0.008309811043242615,0.005572998197749257,0.005486716011849543,0.0,0.0,0.02976328611373901,0.15,0.15,False,False
